scenario,client_connections,avg_duration_s,sum_bytes_sent,sum_bytes_received,avg_throughput_Bps,avg_init_rtt_ms,avg_final_rtt_ms,avg_init_cwnd,avg_final_cwnd,avg_init_ssthresh,avg_final_ssthresh,avg_total_retrans,avg_mean_rtt_ms,avg_mean_cwnd,avg_mean_ssthresh,avg_retrans_rate_per_s
scenario1-single-clean,1,2.432,209715234,64,86235963.31,0.115,2.636,10.00,1522.00,2147483647.00,1113.00,362.00,0.939,497.52,1431656101.19,148.85618
scenario2-multiple-clean,3,3.306,629145801,291,63496802.31,0.118,2.493,10.00,1623.33,2147483647.00,1206.67,356.00,0.993,484.09,1478442257.33,105.96888
scenario3a-single-loss,1,3.284,209715234,64,63850819.96,0.118,0.149,10.00,46.00,2147483647.00,27.00,1230.00,0.278,59.09,1104420198.63,374.49108
scenario3b-single-latency,1,6.572,209715234,64,31912549.87,112.833,59.128,10.00,6251.00,2147483647.00,2147483647.00,0.00,77.539,3777.31,2147483647.00,0.00000
scenario4a-multiple-loss,3,3.556,629145801,291,58979510.14,0.127,0.200,10.00,160.00,2147483647.00,32.00,1699.67,0.177,43.20,1393980628.61,477.78749
scenario4b-multiple-latency,3,6.909,629145810,300,30354653.33,119.279,57.318,10.00,5646.33,2147483647.00,5646.33,5.33,80.596,3171.56,1078497554.74,0.77765
